category,total_resumes,skill,frequency,percentage
ACCOUNTANT,118,accounting,115,97.46
ACCOUNTANT,118,banking,93,78.81
ACCOUNTANT,118,reconciliation,88,74.58
ACCOUNTANT,118,excel,87,73.73
ACCOUNTANT,118,budgeting,85,72.03
ACCOUNTANT,118,ledger,83,70.34
ACCOUNTANT,118,training,78,66.1
ACCOUNTANT,118,auditing,75,63.56
ACCOUNTANT,118,billing,73,61.86
ACCOUNTANT,118,payroll,72,61.02
ACCOUNTANT,118,financial analysis,71,60.17
ACCOUNTANT,118,taxation,70,59.32
ACCOUNTANT,118,sales,66,55.93
ACCOUNTANT,118,compliance,61,51.69
ACCOUNTANT,118,quickbooks,58,49.15
ACCOUNTANT,118,forecasting,40,33.9
ACCOUNTANT,118,contract drafting,38,32.2
ACCOUNTANT,118,gaap,35,29.66
ACCOUNTANT,118,sap,33,27.97
ACCOUNTANT,118,customer support,30,25.42
ACCOUNTANT,118,cpa,29,24.58
ACCOUNTANT,118,leadership,25,21.19
ACCOUNTANT,118,marketing,18,15.25
ACCOUNTANT,118,public speaking,15,12.71
ACCOUNTANT,118,hr policies,15,12.71
ACCOUNTANT,118,strategy,14,11.86
ACCOUNTANT,118,data entry,11,9.32
ACCOUNTANT,118,networks,11,9.32
ACCOUNTANT,118,recruitment,9,7.63
ACCOUNTANT,118,negotiation,8,6.78
ACCOUNTANT,118,advertising,7,5.93
ACCOUNTANT,118,risk management,7,5.93
ACCOUNTANT,118,sql,6,5.08
ACCOUNTANT,118,interviewing,5,4.24
ACCOUNTANT,118,mentoring,4,3.39
ACCOUNTANT,118,medical records,4,3.39
ACCOUNTANT,118,litigation,4,3.39
ACCOUNTANT,118,photography,3,2.54
ACCOUNTANT,118,portfolio management,3,2.54
ACCOUNTANT,118,clinical,3,2.54
ACCOUNTANT,118,tutoring,3,2.54
ACCOUNTANT,118,performance management,3,2.54
ACCOUNTANT,118,crm,3,2.54
ACCOUNTANT,118,curriculum development,3,2.54
ACCOUNTANT,118,surgery,3,2.54
ACCOUNTANT,118,farming,2,1.69
ACCOUNTANT,118,photoshop,2,1.69
ACCOUNTANT,118,illustrator,2,1.69
ACCOUNTANT,118,merchandising,2,1.69
ACCOUNTANT,118,change management,2,1.69
ACCOUNTANT,118,intellectual property,2,1.69
ACCOUNTANT,118,diagnosis,2,1.69
ACCOUNTANT,118,call center,2,1.69
ACCOUNTANT,118,market research,2,1.69
ACCOUNTANT,118,nutrition planning,2,1.69
ACCOUNTANT,118,conflict resolution,2,1.69
ACCOUNTANT,118,aml,1,0.85
ACCOUNTANT,118,plating,1,0.85
ACCOUNTANT,118,video editing,1,0.85
ACCOUNTANT,118,technical support,1,0.85
ACCOUNTANT,118,graphic design,1,0.85
ACCOUNTANT,118,kitchen management,1,0.85
ACCOUNTANT,118,site supervision,1,0.85
ACCOUNTANT,118,telemarketing,1,0.85
ACCOUNTANT,118,employee relations,1,0.85
ACCOUNTANT,118,legal research,1,0.85
ACCOUNTANT,118,html,1,0.85
ACCOUNTANT,118,client acquisition,1,0.85
ACCOUNTANT,118,food safety,1,0.85
ACCOUNTANT,118,onboarding,1,0.85
ACCOUNTANT,118,electrical circuits,1,0.85
ACCOUNTANT,118,piloting,1,0.85
ACCOUNTANT,118,social media,1,0.85
ACCOUNTANT,118,pharmacology,1,0.85
ACCOUNTANT,118,event planning,1,0.85
ACCOUNTANT,118,business analysis,1,0.85
ACCOUNTANT,118,textiles,1,0.85
ACCOUNTANT,118,patient care,1,0.85
ACCOUNTANT,118,nursing,1,0.85
ACCOUNTANT,118,advocacy,1,0.85
ACCOUNTANT,118,cpr,1,0.85
ADVOCATE,118,training,101,85.59
ADVOCATE,118,customer support,68,57.63
ADVOCATE,118,sales,57,48.31
ADVOCATE,118,excel,54,45.76
ADVOCATE,118,leadership,51,43.22
ADVOCATE,118,compliance,32,27.12
ADVOCATE,118,billing,29,24.58
ADVOCATE,118,data entry,28,23.73
ADVOCATE,118,budgeting,27,22.88
ADVOCATE,118,clinical,26,22.03
ADVOCATE,118,marketing,26,22.03
ADVOCATE,118,recruitment,25,21.19
ADVOCATE,118,litigation,22,18.64
ADVOCATE,118,strategy,21,17.8
ADVOCATE,118,conflict resolution,21,17.8
ADVOCATE,118,payroll,21,17.8
ADVOCATE,118,interviewing,20,16.95
ADVOCATE,118,advocacy,20,16.95
